"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022407","regulation of cell-cell adhesion","28/402","472/18842",0.0593220338983051,2.78046209629817,5.78407208354555,1.20606354176719e-06,0.00620214449161766,NA,"857/55824/8740/7048/5788/3356/7412/30009/10164/3037/650/3594/9435/445/6693/3559/3595/59341/80139/3561/3600/6366/3570/2796/56253/7535/7471/5320",28
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT","14/402","146/18842",0.0958904109589041,4.49444558031759,6.25842284702322,3.02906060467157e-06,0.00620214449161766,NA,"857/5788/1438/3594/85480/128869/3559/3595/3587/3561/3600/3570/5753/6775",14
"GO:0097696","cell surface receptor signaling pathway via STAT","15/402","172/18842",0.0872093023255814,4.08755640402638,6.00608546159595,4.41268634182597e-06,0.00620214449161766,NA,"857/5788/1438/3976/3594/85480/128869/3559/3595/3587/3561/3600/3570/5753/6775",15
"GO:0007162","negative regulation of cell adhesion","20/402","295/18842",0.0677966101694915,3.17767096719791,5.56609963528532,5.91297621170939e-06,0.00620214449161766,NA,"55824/5140/57799/5788/27289/30009/650/445/6693/59341/80139/56940/6366/2796/56253/168002/284/7471/5320/3912",20
"GO:0030166","proteoglycan biosynthetic process","10/402","78/18842",0.128205128205128,6.009057277714,6.54523328053642,6.03898455271121e-06,0.00620214449161766,NA,"9951/93010/27087/9435/9957/2300/10331/9469/56548/83539",10
"GO:0007159","leukocyte cell-cell adhesion","24/402","402/18842",0.0597014925373134,2.7982475681295,5.3810446143283,6.32871886899761e-06,0.00620214449161766,NA,"857/55824/8740/7048/5788/7412/30009/10164/3037/3594/9435/445/6693/3559/3595/3561/119/3600/6366/2796/56253/7535/4907/5320",24
"GO:1903037","regulation of leukocyte cell-cell adhesion","22/402","359/18842",0.0612813370473538,2.87229590210507,5.28834795219407,1.02511097267203e-05,0.00861093217044505,NA,"857/55824/8740/7048/5788/7412/30009/10164/3037/3594/9435/445/6693/3559/3595/3561/3600/6366/2796/56253/7535/5320",22
"GO:0007015","actin filament organization","25/402","448/18842",0.0558035714285714,2.61554948471926,5.10982143762814,1.30058669142884e-05,0.00883886356917104,NA,"1730/5629/4643/29767/1901/283446/27289/79822/87/9938/11135/6711/23500/85358/80206/59341/119/6366/10810/390/114822/1809/10602/23433/57553",25
"GO:1904892","regulation of receptor signaling pathway via STAT","11/402","104/18842",0.105769230769231,4.95747225411404,5.97526917190345,1.37157795289152e-05,0.00883886356917104,NA,"857/5788/1438/3976/3594/85480/128869/3595/3587/3561/5753",11
"GO:0006029","proteoglycan metabolic process","11/402","105/18842",0.104761904761905,4.91025823264629,5.93245705666532,1.50320808999507e-05,0.00883886356917104,NA,"9951/93010/27087/9435/9957/2300/284/10331/9469/56548/83539",11
"GO:0070663","regulation of leukocyte proliferation","16/402","224/18842",0.0714285714285714,3.34790334044065,5.21942008991982,2.67558463032176e-05,0.0127788524208417,NA,"7048/5788/1438/7412/3594/6693/3559/3595/54440/4828/3561/3600/2796/56253/4208/5320",16
"GO:1903131","mononuclear cell differentiation","24/402","439/18842",0.0546697038724374,2.56240437901608,4.89064272455601,2.70072855970881e-05,0.0127788524208417,NA,"8807/2908/678/7048/5788/7412/8320/4783/30009/5450/3976/3594/6693/3559/3428/3561/9444/3600/5087/3570/56253/7535/6775/4242",24
"GO:0001822","kidney development","16/402","225/18842",0.0711111111111111,3.3330237700387,5.19804597387547,2.82525648760106e-05,0.0127788524208417,NA,"5629/4643/1286/3037/3976/650/28999/445/5125/1285/3570/168002/284/5727/4208/5613",16
"GO:0050901","leukocyte tethering or rolling","6/402","30/18842",0.2,9.37412935323383,6.77746604335601,3.49547030285887e-05,0.0146809752720073,NA,"7412/10164/9435/6693/119/6366",6
"GO:0072001","renal system development","16/402","231/18842",0.0692640692640693,3.24645172406366,5.07227473254723,3.88921064774816e-05,0.0150496028848862,NA,"5629/4643/1286/3037/3976/650/28999/445/5125/1285/3570/168002/284/5727/4208/5613",16
"GO:0070665","positive regulation of leukocyte proliferation","12/402","138/18842",0.0869565217391304,4.07570841444949,5.35429135882561,4.09513003670374e-05,0.0150496028848862,NA,"7048/5788/1438/7412/3594/3559/3595/54440/4828/3561/3600/4208",12
"GO:0070661","leukocyte proliferation","17/402","261/18842",0.0651340996168582,3.05287737557424,4.93098025417018,4.87961342647191e-05,0.0168777217339146,NA,"8740/7048/5788/1438/7412/3594/6693/3559/3595/54440/4828/3561/3600/2796/56253/4208/5320",17
"GO:0006821","chloride transport","11/402","122/18842",0.0901639344262295,4.22604192153984,5.27814774478947,6.12925643265893e-05,0.0200222376800192,NA,"2564/53405/1183/9990/25932/1193/2563/5205/57030/147798/2568",11
"GO:0046425","regulation of receptor signaling pathway via JAK-STAT","9/402","85/18842",0.105882352941176,4.96277436347673,5.4064434077861,8.24504005188036e-05,0.0255162292131876,NA,"857/5788/1438/3594/128869/3595/3587/3561/5753",9
"GO:1902476","chloride transmembrane transport","10/402","111/18842",0.0900900900900901,4.22258078974497,5.02770009984915,0.000132626847638078,0.0389922932055949,NA,"2564/53405/1183/9990/25932/1193/2563/57030/147798/2568",10
"GO:1904894","positive regulation of receptor signaling pathway via STAT","7/402","54/18842",0.12962962962963,6.07582458079971,5.51502838082186,0.000142520692195015,0.0399057938146042,NA,"1438/3976/3594/85480/3595/3587/5753",7
"GO:0180064","protein O-linked glycosylation via xylose","7/402","55/18842",0.127272727272727,5.96535504296698,5.44486953167944,0.000160346936139038,0.0428563629317066,NA,"9951/27087/9957/284/9469/56548/83539",7
"GO:0045785","positive regulation of cell adhesion","22/402","437/18842",0.0503432494279176,2.35962066099707,4.24595225339079,0.000191027123430411,0.046865636283195,NA,"857/8740/7048/5788/201294/3356/7412/10164/3037/3976/3594/9435/3559/3595/27185/3561/3600/6366/3570/7535/6288/3912",22
"GO:0042098","T cell proliferation","12/402","162/18842",0.0740740740740741,3.47189976045697,4.66535256890147,0.00019128831135998,0.046865636283195,NA,"8740/7048/5788/7412/3594/6693/3559/3595/3600/2796/56253/5320",12
